NumeroDaAmostra	DataDeRegistroNoSISAGUA	DataColeta	DescricaoDoLocal	Zona	CategoriaArea	Area	TipoDoLocal	NomeLocal	Latitude	Longitude	fk_Municipio_CodigoDoIBGE	Procedencia	PontoDeColeta	Motivo	Hora
150913000001	2015-11-12 10:35:19	2015-01-27	PREFEITURA MUNICIPAL	Urbana	Bairro	SETOR CENTRAL			-13.509.718	-48.743.835	522145	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	20:00:00
15091000002	2015-11-12 13:23:08	2015-01-27	AV. MANOEL NAPOLEÃO TAVARES	Urbana	Bairro	SETOR FUNCIONARIOS			-13.508.289	-48.744.616	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:05:00
150913000003	2015-11-12 13:43:22	2015-01-27	RUA ; VAL TENOR DE CASTRO DOURADO	Urbana	Bairro	SETOR FUNCIONARIOS			-135.102	-48.745.687	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:10:00
150913000004	2015-11-12 13:58:02	2015-01-27	AV. BARÃO DO RIO MBRANCO	Urbana	Bairro	CRUZEIRO DO SUL			-13.512.222	-487.454	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:15:00
150913000005	2015-11-12 14:07:21	2015-01-27	RUA. VALTENOR DE CASTRO DOURADO	Urbana	Bairro	SETOR FUNCIONARIOS			-13.511.606	-48.744.829	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:20:00
150913000006	2015-11-12 14:18:24	2015-01-27	AV. PRESIDENTE ARGAS N149	Urbana	Bairro	SETOR FUNCIONARIOS			-13.510.965	-4.874.463	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:25:00
1517070000030	2016-03-30 16:38:40	2015-01-30	RESIDENCIA	Urbana	Bairro	CENTRO	Praça	PRACA DA MATRIZ			521839	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	07:55:00
150913000007	2015-11-13 08:19:24	2015-02-12	AV. BARÃO DO RIO BRANCO	Urbana	Bairro	CRUZEIRO DO SUL			-13.511.657	-48.744.218	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:20:00
150913000008	2015-11-13 08:35:45	2015-02-12	AV. PRESIDENTE VARGAS	Urbana	Bairro	SETOR FUNCIONARIOS			-13.511.834	-48.746.138	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:25:00
150913000009	2015-11-13 08:45:44	2015-02-12	RUA. DOS ATLETAS	Urbana	Bairro	SETOR FUNCIONARIOS			-13.512.476	-48.745.833	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:29:00
1509130000010	2015-11-13 08:53:55	2015-02-12	RUA BARÃO DO RIO BRANCO	Urbana	Bairro	SETOR FUNCIONARIOS			-13.510.003	-48.741.664	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:35:00
1509130000011	2015-11-13 09:01:05	2015-02-12	RUA . ANTONIO ROMEIRO	Urbana	Bairro	SETOR RODOVIARIO			-13.504.119	-48.742.206	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:43:00
1509130000012	2015-11-13 09:06:36	2015-02-12	AV. CASSIMIRO BARBOSA	Urbana	Bairro	SETOR RODOVIARIO			-13.504.254	-48.740.881	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	20:50:00
186462015	2016-04-26 08:49:47	2015-02-16									510180	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	16:30:00
186452015	2016-04-27 08:23:35	2015-02-24	RUA: ' J '  N° 125								510180	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:00:00
730	2015-10-29 17:27:06	2015-03-10	BARRAGEM MUNDAÚ								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:00:00
1509130000013	2015-11-13 09:52:22	2015-03-17	AV. BARÃO DO RIO BRANCO	Urbana	Bairro	SETOR FUNCIONARIOS			-13.511.481	-48.743.924	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:10:00
1509130000015	2015-11-13 10:09:42	2015-03-17	AV. PRESIDENTE VARGAS QD 21 LT22	Urbana	Bairro	SETOR FUNCIONARIOS			-13.511.818	-48.745.869	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:22:00
1509130000016	2015-11-13 10:16:47	2015-03-17	AAV. PRESIDENTE VARGAS	Urbana	Bairro	SETOR CENTRAL			-13.508.542	-48.740.811	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:26:00
1509130000017	2015-11-13 10:22:00	2015-03-17	AV. DONA LIDIA	Urbana	Bairro	CRUZEIRO DO SUL			-1.351.478	-48.747.487	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:30:00
1509130000018	2015-11-13 10:31:13	2015-03-17	RUA FIRMINO DA SILVA	Urbana	Bairro	CRUZEIRO DO SUL			-13.516.249	-48.747.299	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:35:00
1509130000014	2015-11-13 09:57:57	2015-03-17	AV. DONA LI DIA N 13	Urbana	Bairro	CRUZEIRO DO SUL			-13.512.587	-48.744.369	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:18:00
7565/2015	2015-07-15 07:57:52	2015-04-29	POÇO DE IANDARA								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	15:00:00
7566/2015	2015-07-14 11:15:16	2015-04-29	POÇO ARTESIANO DE JAMAICA								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	16:00:00
7567/2015	2015-07-15 09:18:10	2015-04-29	POÇO DO DISTRITO DE JACIPORÃ								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	17:00:00
7568/2015	2015-07-15 09:50:47	2015-04-29	POÇO CARLOS GOMES								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	18:00:00
1509130000020	2015-11-13 13:38:47	2015-05-07	AV. MANOEL NAPOLEÃO TAVARES	Urbana	Bairro	SETOR FUNCIONARIOS			-13.508.271	-48.744.582	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:14:00
1509130000021	2015-11-13 14:04:59	2015-05-07	AV. TIRADENTIS	Urbana	Bairro	SETOR FUNCIONARIOS			-13.509.708	-4.874.386	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:14:00
1509130000022	2015-11-13 14:19:31	2015-05-07	RUA. VAL TENOR DE CASTRO DOURADO	Urbana	Bairro	SETOR FUNCIONARIOS			-13.510.832	-48.745.274	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:25:00
15091300000	2015-11-13 14:23:53	2015-05-07	AV. BARÃO DO RIO BRANCO	Urbana	Bairro	SETOR FUNCIONARIOS			-13.512.204	-48.745.403	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:30:00
1509130000024	2015-11-13 14:31:30	2015-05-07	AV. BARÃO DO RIO BRANCO	Urbana	Bairro	SETOR FUNCIONARIOS			-13.510.845	-48.743.376	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:35:00
1509130000025	2015-11-13 14:39:14	2015-05-07	AV. PRESIDENTE VARGAS	Urbana	Bairro	SETOR FUNCIONARIOS			-13.510.965	-4.874.463	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	18:40:00
150280000026	2015-12-22 11:39:48	2015-05-25	POSTO DE SAÚDE DO BUGRE	Urbana	Sede de distrito (ou vila)	BUGRE					410230	INTRA-DOMICILIAR / INTRA-PREDIAL	Bebedouro	Rotina	15:10:00
1628.00/2015	2019-09-03 12:00:22	2015-05-27									270580	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
1630.00/2015	2019-09-03 12:03:24	2015-05-27									270580	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
1631.00/2015	2019-09-03 09:42:53	2015-05-27	PONTO DE CAPTAÇÃO ORIGEM ETA (SALGADO I)								270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
1632.00/2015	2019-09-03 11:51:27	2015-05-27									270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
1633.00/2015	2019-09-03 11:48:19	2015-05-27									270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
1629.00/2015	2019-09-03 11:44:14	2015-05-28									270580	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
003 15AC	2015-11-07 10:08:56	2015-06-15	BR 163						-2.222.396	-5.478.868	500370	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	13:50:00
0325/2015	2015-08-12 16:02:33	2015-07-13	RUA.	Urbana	Bairro	RESIDENCIAL PARQUE DAS ARVORES					314500	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:30:00
0325A/2015	2015-08-13 08:49:17	2015-07-13	AV. MORSE CAETANO, 279	Urbana	Bairro	MEDALHA MILAGROSA					314500	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:20:00
15090130000026	2015-11-17 08:36:48	2015-07-14	AV. BARÃO DO RIO BRANCO Nº113	Urbana	Bairro	CRUZEIRO DO SUL			-13.511.669	-48.744.219	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:02:00
1509130000027	2015-11-17 08:41:00	2015-07-14	AV. PRESIDENTE VARGAS	Urbana	Bairro	CRUZEIRO DO SUL			-13.511.825	-48.745.903	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:09:00
1509130000028	2015-11-17 08:47:37	2015-07-14	RUA DOS ATLETAS	Urbana	Bairro	CRUZEIRO DO SUL			-13.512.482	-48.745.812	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:13:00
15091300029	2015-11-17 08:52:30	2015-07-14	RUA. VAL TENOR DE CASTRO DOURADO	Urbana	Bairro	CRUZEIRO DO SUL			-13.511.481	-4.874.468	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:18:00
1509130000030	2015-11-17 09:07:20	2015-07-14	RUA . LAURA BORGES MARTINS	Urbana	Bairro	SETOR FUNCIONARIOS			-13.508.847	-487.474.391	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:24:00
1509130000031	2015-11-17 09:13:17	2015-07-14	AV. BARÃO DO RIO BRANCO	Urbana	Bairro	CRUZEIRO DO SUL			-13.510.083	-48.741.783	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:30:00
004 15AC	2015-11-07 10:15:25	2015-07-20	BR 163						-2.222.396	-5.422.396	500370	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	14:20:00
2141.00/2015	2019-09-03 10:14:27	2015-07-21	BARRAGEM DO CAÇAMBA								270630	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2142.00/2015	2019-09-03 10:45:16	2015-07-21	BARRAGEM DO CAÇAMBA								270630	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2145.00/2015	2019-09-03 12:09:08	2015-07-21									270030	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2147.00/2015	2019-09-03 10:57:01	2015-07-21	BARRAGEM LIMEIRA								270255	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
0334/2015	2015-08-13 09:21:10	2015-07-27	ALAMEIDA DOS PALMEIRAS	Urbana	Bairro	RESIDENCIAL PARQUE DAS ARVORES					314500	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:00:00
255SJI15	2015-12-02 11:47:48	2015-08-03	RUA WALFRIDO COSTA, 119	Urbana	Bairro	RIO PEQUENO					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:29:00
254SJI15	2015-12-02 11:42:52	2015-08-03	RUA SEBASTIÃO FOGGIATTO, 21	Urbana	Bairro	ZANIOLO					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:41:00
257SJI15	2015-12-03 10:54:21	2015-08-03	UBS MORADIAS TREVISAN - RUA LUIZ ORIBES DA ROCHA, 26	Urbana	Bairro	ITALIA					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:55:00
256SJI15	2015-12-03 10:45:39	2015-08-03	ESCOLA PEDRO CONSTANTINO - RUA JOSÉ IVAHI DE CAMARGO, 261	Urbana	Bairro	SAO PEDRO					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	10:04:00
253SJI15	2015-12-02 11:32:48	2015-08-03	RUA PAULINO SIQUEIRA CAMPOS, 1979	Urbana	Bairro	CENTRO					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	10:20:00
2333.00/2015	2019-09-03 10:59:44	2015-08-05	ALTO DO RIO SÃO FRANCISCO POVOADO SALGADO								270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2334.00/2015	2019-09-03 11:16:54	2015-08-05	ALTO DO RIO SÃO FRANCISCO POVOADO SALGADO								270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2335.00/2015	2019-09-03 11:18:59	2015-08-05	CAPTAÇÃO RIO SÃO FRANCISCO POVOADO SALGADO								270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2336.00/2015	2019-09-03 11:27:05	2015-08-05	CAPTAÇÃO RIO SÃO FRANCISCO POVOADO SALGADO								270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2337.00/2015	2019-09-03 11:31:34	2015-08-05									270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
2338.00/2015	2019-09-03 11:40:24	2015-08-05									270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
262SJI15	2015-12-03 11:15:26	2015-08-10	ESCOLA LUIZ SINGER - RUA ANTONIO QUINTINDA, 173	Urbana	Bairro	CONTENDA					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:05:00
258SJI15	2015-12-03 10:58:15	2015-08-10	UBS CAMPO LARGO DA ROSEIRA - RUA ANTONIO SINGER S/Nº	Urbana	Bairro	CAMPO LARGO DA ROSEIRA					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:37:00
2402002015	2015-12-09 16:44:21	2015-08-11		Rural	Projeto de assentamento	ASSENTAMENTO QUEIMADA GRANDE					261220	SOLUÇÃO ALTERNATIVA		Rotina	09:25:00
2401002015	2015-12-09 16:40:45	2015-08-11		Rural	Projeto de assentamento	ASSENTAMENTO QUEIMADA GRANDE					261220	SOLUÇÃO ALTERNATIVA		Rotina	10:43:00
1509130000032	2015-11-25 09:09:49	2015-08-16	AV BARÃO DO RIO BRANCO	Urbana	Bairro	SETOR CENTRAL			-13.507.629	-48.738.001	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:05:00
1509130000033	2015-11-25 09:19:26	2015-08-16	AV. PRESIDENTE VARGAS N 86	Urbana	Bairro	SETOR CENTRAL			-13.507.345	-48.739.203	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:10:00
1509130000034	2015-11-25 09:24:31	2015-08-16	AV. CASSIMIRO BARBOSA QD.60 LT.12	Urbana	Bairro	SETOR RODOVIARIO			-13.504.308	-4.874.097	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:18:00
1509130000035	2015-11-25 10:36:16	2015-08-16	AV. MANOEL NAPOLEÃO TAVARES N 43	Urbana	Bairro	SETOR FUNCIONARIOS			-131.350.827	-48.744.582	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:25:00
1509130000036	2015-11-25 10:41:39	2015-08-16	AV. TIRADENTES Nº97	Urbana	Bairro	SETOR FUNCIONARIOS			-13.509.718	-48.743.835	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:33:00
150913000037	2015-11-25 10:50:00	2015-08-16	AV. PRESIDENTE VARGAS Nº149	Urbana	Bairro	CRUZEIRO DO SUL			-13.510.965	-4.874.463	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:38:00
264SJI15	2015-12-03 11:24:43	2015-08-17	CMEI ÁRVORE DOS SAPATOS - RUA PARAISO, 1111	Urbana	Bairro	BORDA DO CAMPO					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	08:58:00
273SJI15	2015-12-10 15:28:35	2015-08-24	RUA MARGARIDA NEGRELLE MOLETA,110	Urbana	Bairro	AGUAS BELAS					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:07:00
270SJI15	2015-12-03 11:46:00	2015-08-24	CEMEI ACONCHEGO - RUA PRUDENTÓPOLIS, 175	Urbana	Bairro	AVIACAO					412550	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:33:00
0383I	2015-09-30 13:32:06	2015-08-28	RUA. DERCIDES  FERNANDES, 71	Urbana	Bairro	ALMEIDA CAMPOS	Estabelecimento de ensino	ESCOLA MUNICIPAL PRESIDENTE VARGAS			314500	SOLUÇÃO ALTERNATIVA	Saída de tratamento/pós-desinfecção	Rotina	13:00:00
3233	2015-11-11 12:01:50	2015-08-31	BR364 LC45 GL35 LT23	Rural	Núcleo/Propriedade Rural	BR 364	Casa	BR364			110002	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	15:55:00
1509130000038	2015-12-04 08:32:17	2015-09-15	RUA. ANTONIO ROMEIRO QD.59 LT.03	Urbana	Bairro	SETOR RODOVIARIO			-13.504.119	-48.742.206	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:19:00
1509130000039	2015-12-04 08:37:58	2015-09-15	AV. PRESIDENTE VARGAS Nº160	Urbana	Bairro	SETOR FUNCIONARIOS			-13.511.834	-48.746.138	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:28:00
1509130000040	2015-12-04 08:43:17	2015-09-15	AV. PRESIDENTE VARGAS S/N	Urbana	Bairro	SETOR FUNCIONARIOS			-135.102	-48.745.687	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:36:00
1509130000041	2015-12-04 08:48:37	2015-09-15	RUA 10 A Nº03	Urbana	Bairro	CRUZEIRO DO SUL			-13.510.281	-48.747.293	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:40:00
1509130000042	2015-12-04 08:52:51	2015-09-15	AV. PRESIDENTE VARGAS S/N	Urbana	Bairro	SETOR CENTRAL			-13.508.351	-48.740.545	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:44:00
1509130000043	2015-12-04 08:56:32	2015-09-15	AV. BARÃO DO RIO BRANCO	Urbana	Bairro	CRUZEIRO DO SUL			-135.100.003	-48.741.664	522145	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	19:48:00
79072015	2016-04-27 10:43:59	2015-09-29	DISTRITO DE VALE DOS SONHOS								510180	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:20:00
79142015	2016-04-29 10:22:36	2015-09-29									510180	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	15:00:00
3049002015	2015-11-19 11:57:25	2015-10-06		Rural	Núcleo/Propriedade Rural	ENGENHO ORA					261060	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:20:00
3029002015	2015-11-19 11:50:12	2015-10-06		Urbana	Bairro	CENTRO					260845	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	08:45:00
20153080	2015-11-05 11:47:01	2015-10-13									260790	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:30:00
3093002015	2015-12-09 16:42:37	2015-10-14									261220	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:52:00
4039	2015-12-09 12:42:22	2015-10-19	R CUBA 3840	Urbana	Bairro	JARDIM AMERICA	Grupo de casas	SAI JARDIM AMERICA			110002	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Rotina	16:10:00
3163002015	2015-11-19 12:01:59	2015-10-20		Urbana	Bairro	SAO JOSE					260600	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:35:00
148	2015-11-05 11:39:25	2015-10-21									261390	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:45:00
3178002015	2015-12-09 16:30:17	2015-10-21									261390	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:02:00
3179002015	2015-12-09 15:19:34	2015-10-21		Rural	Núcleo/Propriedade Rural	CACHOEIRA II					261390	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:25:00
16842	2015-12-04 11:35:13	2015-10-21	POÇO DE IANDARA								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	11:30:00
16843	2015-12-04 12:06:30	2015-10-21	POÇO DE JAMAICA								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	13:00:00
16844	2015-12-04 12:33:43	2015-10-21	POÇO JACIPORA								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	14:30:00
16845	2015-12-04 12:37:10	2015-10-21	RUA MARIA MORETTI CARRERA S/N								351440	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	15:30:00
3305002015	2015-12-02 11:53:36	2015-10-27	DISTRITO INDUSTRIAL								261110	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	05:00:00
3306002015	2015-12-02 12:02:11	2015-10-27		Urbana	Bairro	CENTRO					261110	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	05:00:00
3246	2016-01-08 14:54:17	2015-10-27	ETA	Urbana	Bairro	CENTRO					270240	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Desastre	13:00:00
3247	2016-01-08 15:08:53	2015-10-27									270240	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	13:00:00
3328002015	2015-11-19 11:42:27	2015-11-03									261450	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:15:00
3327002015	2015-11-19 11:40:25	2015-11-03									260540	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:40:00
